Year,Provider,Quarter,Members,ACR,RiskFactor,Regionality,Members_Lag,Rate_Lag,ChurnRate,Treatment
2016,AOK Baden-Württemberg,2,3108506,1.0,1.001318694997145,Regional,3081619.0,1.0,-0.0087249591854152,0
2016,AOK Baden-Württemberg,3,3137197,1.0,1.001318694997145,Regional,3108506.0,1.0,-0.009229835811801554,0
2016,AOK Baden-Württemberg,4,3175380,1.0,1.001318694997145,Regional,3137197.0,1.0,-0.012171055882050122,0
2017,AOK Baden-Württemberg,1,3197300,1.0,0.9853246841044032,Regional,3175380.0,1.0,-0.006903110808785091,0
2017,AOK Baden-Württemberg,2,3219811,1.0,0.9853246841044032,Regional,3197300.0,1.0,-0.007040628029900228,0
2017,AOK Baden-Württemberg,3,3247255,1.0,0.9853246841044032,Regional,3219811.0,1.0,-0.008523481657774322,0
2017,AOK Baden-Württemberg,4,3283220,1.0,0.9853246841044032,Regional,3247255.0,1.0,-0.011075508390933264,0
2018,AOK Baden-Württemberg,1,3301147,1.0,0.9678536900657482,Regional,3283220.0,1.0,-0.0054601884735107605,0
2018,AOK Baden-Württemberg,2,3334935,1.0,0.9678536900657482,Regional,3301147.0,1.0,-0.010235230360841247,0
2018,AOK Baden-Württemberg,3,3359667,1.0,0.9678536900657482,Regional,3334935.0,1.0,-0.007416036594416383,0
2018,AOK Baden-Württemberg,4,3404050,1.0,0.9678536900657482,Regional,3359667.0,1.0,-0.013210535448900143,0
2019,AOK Baden-Württemberg,1,3387841,0.9,0.9720760721838373,Regional,3404050.0,1.0,0.004761680938881626,0
2019,AOK Baden-Württemberg,2,3376890,0.9,0.9720760721838373,Regional,3387841.0,0.9,0.0032324421364520943,0
2019,AOK Baden-Württemberg,3,3390278,0.9,0.9720760721838373,Regional,3376890.0,0.9,-0.003964594641815398,0
2019,AOK Baden-Württemberg,4,3418257,0.9,0.9720760721838373,Regional,3390278.0,0.9,-0.008252715559019054,0
2020,AOK Baden-Württemberg,1,3424798,0.9,0.9668224703195901,Regional,3418257.0,0.9,-0.0019135483376469353,0
