,Year,Provider,Quarter,Members,ACR,RiskFactor,Regionality,Members_Lag,Rate_Lag,ChurnRate,Treatment,QuarterInt,ACR_next,treatment,CATE,Avg_ACR_Other_Providers
0,2016,AOK Baden-Württemberg,2,3108506,1.0,1.001318694997145,Regional,3081619.0,1.0,-0.0087249591854152,0,2,1.0,0,0.0045587275928693,0.9470514599481128
1,2016,AOK Baden-Württemberg,3,3137197,1.0,1.001318694997145,Regional,3108506.0,1.0,-0.0092298358118015,0,3,1.0,0,0.0016857940983768,0.950384793281446
2,2016,AOK Baden-Württemberg,4,3175380,1.0,1.001318694997145,Regional,3137197.0,1.0,-0.0121710558820501,0,4,1.0,0,0.0054360323407827,0.950384793281446
3,2017,AOK Baden-Württemberg,1,3197300,1.0,0.9853246841044032,Regional,3175380.0,1.0,-0.006903110808785,0,1,1.0,0,-9.036810063464424e-05,1.007604511742462
4,2017,AOK Baden-Württemberg,2,3219811,1.0,0.9853246841044032,Regional,3197300.0,1.0,-0.0070406280299002,0,2,1.0,0,0.0047768164791878,1.01538228952024
5,2017,AOK Baden-Württemberg,3,3247255,1.0,0.9853246841044032,Regional,3219811.0,1.0,-0.0085234816577743,0,3,1.0,0,0.0017659563913587,1.0220489561869066
6,2017,AOK Baden-Württemberg,4,3283220,1.0,0.9853246841044032,Regional,3247255.0,1.0,-0.0110755083909332,0,4,1.0,0,0.0056279423049714,1.0220489561869066
7,2018,AOK Baden-Württemberg,1,3301147,1.0,0.9678536900657482,Regional,3283220.0,1.0,-0.0054601884735107,0,1,1.0,0,3.6727767378411393e-06,1.0265575354700156
8,2018,AOK Baden-Württemberg,2,3334935,1.0,0.9678536900657482,Regional,3301147.0,1.0,-0.0102352303608412,0,2,1.0,0,0.0053338056178855,1.0243353132477937
9,2018,AOK Baden-Württemberg,3,3359667,1.0,0.9678536900657482,Regional,3334935.0,1.0,-0.0074160365944163,0,3,1.0,0,0.0011600813091182,1.0288908688033491
10,2018,AOK Baden-Württemberg,4,3404050,1.0,0.9678536900657482,Regional,3359667.0,1.0,-0.0132105354489001,0,4,0.9,-1,,1.0288908688033491
11,2019,AOK Baden-Württemberg,1,3387841,0.9,0.9720760721838372,Regional,3404050.0,1.0,0.0047616809388816,0,1,0.9,0,-0.0003458051314077,0.9725555555555556
12,2019,AOK Baden-Württemberg,2,3376890,0.9,0.9720760721838372,Regional,3387841.0,0.9,0.003232442136452,0,2,0.9,0,0.0026685954310884,0.9751481481481482
13,2019,AOK Baden-Württemberg,3,3390278,0.9,0.9720760721838372,Regional,3376890.0,0.9,-0.0039645946418153,0,3,0.9,0,0.0002887413747274,0.9813333333333332
14,2019,AOK Baden-Württemberg,4,3418257,0.9,0.9720760721838372,Regional,3390278.0,0.9,-0.008252715559019,0,4,0.9,0,0.0092460981878381,0.9813333333333332
15,2020,AOK Baden-Württemberg,1,3424798,0.9,0.96682247031959,Regional,3418257.0,0.9,-0.0019135483376469,0,1,0.9,0,-0.000302400915076,1.0396666666666663
16,2020,AOK Baden-Württemberg,2,3436444,0.9,0.96682247031959,Regional,3424798.0,0.9,-0.0034004925253985,0,2,0.9,0,0.0028454631948091,1.0552222222222225
