Quarter,RiskFactor,Regionality,Treatment,Churn,CATE(1 vs 0),CATE(1 vs -1),CATE(0 vs -1)
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,13,1,-1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,1,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,13,1,1,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
1,12,1,1,0,0.09679673862617699,0.11879947067491836,0.02200273204874137
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
