Year,Provider,Quarter,RiskFactor,Regionality,Treatment,Churn,CATE(1 vs 0),CATE(1 vs -1),CATE(0 vs -1)
2016,0,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2016,0,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2016,0,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2017,0,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2017,0,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2017,0,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2017,0,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2018,0,1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2018,0,2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2018,0,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2018,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2019,0,1,13,1,-1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2019,0,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2019,0,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2019,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2020,0,1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2020,0,2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2020,0,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2020,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2021,0,1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2021,0,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2021,0,3,13,1,0,1,0.60311992596561,0.06614887212456799,-0.536971053841042
2021,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2022,0,1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2022,0,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2022,0,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2022,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2023,0,1,13,1,1,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2023,0,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2023,0,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2023,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2024,0,1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2024,0,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2024,0,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2024,0,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2025,0,1,12,1,1,0,0.09679673862617699,0.11879947067491836,0.02200273204874137
2016,1,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2016,1,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2016,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2017,1,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2017,1,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2017,1,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2017,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2018,1,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2018,1,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2018,1,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2018,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2019,1,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2019,1,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2019,1,3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2019,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2020,1,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2020,1,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2020,1,3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2020,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2021,1,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2021,1,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2021,1,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2021,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2022,1,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2022,1,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
