Year,Provider,Quarter,Members,RiskFactor,Regionality,Treatment,Avg_ACR_Other_Providers,Churn
2016,0,2,3108506,1.001318694997145,1,0,0.9470514599481128,0
2016,0,3,3137197,1.001318694997145,1,0,0.9503847932814461,0
2016,0,4,3175380,1.001318694997145,1,0,0.9503847932814461,0
2017,0,1,3197300,0.9853246841044032,1,0,1.0076045117424621,0
2017,0,2,3219811,0.9853246841044032,1,0,1.01538228952024,0
2017,0,3,3247255,0.9853246841044032,1,0,1.0220489561869066,0
2017,0,4,3283220,0.9853246841044032,1,0,1.0220489561869066,0
2018,0,1,3301147,0.9678536900657482,1,0,1.0265575354700156,0
2018,0,2,3334935,0.9678536900657482,1,0,1.0243353132477935,0
2018,0,3,3359667,0.9678536900657482,1,0,1.0288908688033491,0
2018,0,4,3404050,0.9678536900657482,1,0,1.0288908688033491,0
2019,0,1,3387841,0.9720760721838372,1,-1,0.9725555555555556,1
2019,0,2,3376890,0.9720760721838372,1,0,0.9751481481481482,1
2019,0,3,3390278,0.9720760721838372,1,0,0.9813333333333333,0
2019,0,4,3418257,0.9720760721838372,1,0,0.9813333333333333,0
2020,0,1,3424798,0.96682247031959,1,0,1.0396666666666665,0
2020,0,2,3436444,0.96682247031959,1,0,1.0552222222222223,0
2020,0,3,3441751,0.96682247031959,1,0,1.065222222222222,0
2020,0,4,3453794,0.96682247031959,1,0,1.065222222222222,0
2021,0,1,3450692,0.95,1,1,1.2098888888888888,1
2021,0,2,3441942,0.95,1,0,1.2098888888888888,1
2021,0,3,3441518,0.95,1,0,1.2131111111111113,1
2021,0,4,3456275,0.95,1,0,1.233111111111111,0
2022,0,1,3453151,0.9368486550601546,1,1,1.2616666666666667,1
2022,0,2,3447175,0.9368486550601546,1,0,1.2661111111111112,1
2022,0,3,3474113,0.9368486550601546,1,0,1.2524444444444445,0
2022,0,4,3495954,0.9368486550601546,1,0,1.2524444444444445,0
2023,0,1,3510507,0.93,1,1,1.4255555555555557,0
2023,0,2,3502213,0.93,1,0,1.4255555555555557,1
2023,0,3,3511168,0.93,1,0,1.4200000000000002,0
2023,0,4,3521081,0.93,1,0,1.4197777777777778,0
2024,0,1,3523299,0.92,1,0,1.5865555555555555,0
2024,0,2,3518303,0.92,1,0,1.590888888888889,1
2024,0,3,3527235,0.92,1,0,1.7072222222222222,0
2024,0,4,3537563,0.92,1,0,1.922777777777778,0
2025,0,1,3539685,0.9060689509330876,1,1,2.9522222222222223,0
2016,1,2,3395941,1.042804999786472,1,0,0.9459403488370017,0
2016,1,3,3423109,1.042804999786472,1,0,0.949273682170335,0
2016,1,4,3457661,1.042804999786472,1,0,0.949273682170335,0
2017,1,1,3458155,1.015120536013137,1,0,1.0064934006313513,0
