Year,Provider,Quarter,RiskFactor,Regionality,Treatment,Avg_ACR_Other_Providers,Churn
2016,0,2,1.001318694997145,1,0,0.9470514599481128,0
2016,0,3,1.001318694997145,1,0,0.9503847932814461,0
2016,0,4,1.001318694997145,1,0,0.9503847932814461,0
2017,0,1,0.9853246841044032,1,0,1.0076045117424621,0
2017,0,2,0.9853246841044032,1,0,1.01538228952024,0
2017,0,3,0.9853246841044032,1,0,1.0220489561869066,0
2017,0,4,0.9853246841044032,1,0,1.0220489561869066,0
2018,0,1,0.9678536900657482,1,0,1.0265575354700156,0
2018,0,2,0.9678536900657482,1,0,1.0243353132477935,0
2018,0,3,0.9678536900657482,1,0,1.0288908688033491,0
2018,0,4,0.9678536900657482,1,0,1.0288908688033491,0
2019,0,1,0.9720760721838372,1,-1,0.9725555555555556,1
2019,0,2,0.9720760721838372,1,0,0.9751481481481482,1
2019,0,3,0.9720760721838372,1,0,0.9813333333333333,0
2019,0,4,0.9720760721838372,1,0,0.9813333333333333,0
2020,0,1,0.96682247031959,1,0,1.0396666666666665,0
2020,0,2,0.96682247031959,1,0,1.0552222222222223,0
2020,0,3,0.96682247031959,1,0,1.065222222222222,0
2020,0,4,0.96682247031959,1,0,1.065222222222222,0
2021,0,1,0.95,1,1,1.2098888888888888,1
2021,0,2,0.95,1,0,1.2098888888888888,1
2021,0,3,0.95,1,0,1.2131111111111113,1
2021,0,4,0.95,1,0,1.233111111111111,0
2022,0,1,0.9368486550601546,1,1,1.2616666666666667,1
2022,0,2,0.9368486550601546,1,0,1.2661111111111112,1
2022,0,3,0.9368486550601546,1,0,1.2524444444444445,0
2022,0,4,0.9368486550601546,1,0,1.2524444444444445,0
2023,0,1,0.93,1,1,1.4255555555555557,0
2023,0,2,0.93,1,0,1.4255555555555557,1
2023,0,3,0.93,1,0,1.4200000000000002,0
2023,0,4,0.93,1,0,1.4197777777777778,0
2024,0,1,0.92,1,0,1.5865555555555555,0
2024,0,2,0.92,1,0,1.590888888888889,1
2024,0,3,0.92,1,0,1.7072222222222222,0
2024,0,4,0.92,1,0,1.922777777777778,0
2025,0,1,0.9060689509330876,1,1,2.9522222222222223,0
2016,1,2,1.042804999786472,1,0,0.9459403488370017,0
2016,1,3,1.042804999786472,1,0,0.949273682170335,0
2016,1,4,1.042804999786472,1,0,0.949273682170335,0
2017,1,1,1.015120536013137,1,0,1.0064934006313513,0
2017,1,2,1.015120536013137,1,0,1.014271178409129,0
2017,1,3,1.015120536013137,1,0,1.0209378450757955,0
2017,1,4,1.015120536013137,1,0,1.0209378450757955,0
2018,1,1,0.9918025971217022,1,0,1.0254464243589045,1
2018,1,2,0.9918025971217022,1,0,1.0232242021366824,0
2018,1,3,0.9918025971217022,1,0,1.027779757692238,0
2018,1,4,0.9918025971217022,1,0,1.027779757692238,0
2019,1,1,1.005776664383717,1,0,0.9703333333333335,0
2019,1,2,1.005776664383717,1,0,0.9729259259259261,1
2019,1,3,1.005776664383717,1,0,0.9791111111111112,1
2019,1,4,1.005776664383717,1,0,0.9791111111111112,0
2020,1,1,1.001601709318858,1,0,1.0374444444444444,1
2020,1,2,1.001601709318858,1,0,1.0530000000000002,0
2020,1,3,1.001601709318858,1,0,1.063,1
2020,1,4,1.001601709318858,1,0,1.063,0
2021,1,1,1.001601709318858,1,0,1.2098888888888888,1
2021,1,2,1.001601709318858,1,0,1.2098888888888888,1
2021,1,3,1.001601709318858,1,0,1.2131111111111113,0
2021,1,4,1.001601709318858,1,0,1.233111111111111,0
2022,1,1,1.011747686846629,1,1,1.2616666666666667,1
2022,1,2,1.011747686846629,1,0,1.2661111111111112,1
2022,1,3,1.011747686846629,1,0,1.2524444444444445,0
2022,1,4,1.011747686846629,1,0,1.2524444444444445,0
2023,1,1,1.001601709318858,1,1,1.4257777777777778,1
2023,1,2,1.001601709318858,1,0,1.4257777777777778,1
2023,1,3,1.001601709318858,1,0,1.4202222222222223,0
2023,1,4,1.001601709318858,1,0,1.42,0
2024,1,1,1.001601709318858,1,0,1.5867777777777774,1
2024,1,2,1.001601709318858,1,0,1.591111111111111,1
2024,1,3,1.001601709318858,1,0,1.7074444444444443,1
2024,1,4,1.001601709318858,1,0,1.9229999999999998,0
2025,1,1,0.9897709593613556,1,1,2.9512222222222224,1
2016,2,2,1.076461845285246,1,0,0.9459403488370017,0
2016,2,3,1.076461845285246,1,0,0.949273682170335,0
2016,2,4,1.076461845285246,1,0,0.949273682170335,0
2017,2,1,1.043855536180048,1,0,1.0064934006313513,0
2017,2,2,1.043855536180048,1,0,1.014271178409129,0
2017,2,3,1.043855536180048,1,0,1.0209378450757955,0
2017,2,4,1.043855536180048,1,0,1.0209378450757955,0
2018,2,1,0.9989532676171388,1,-1,1.028779757692238,0
2018,2,2,0.9989532676171388,1,0,1.0265575354700158,0
2018,2,3,0.9989532676171388,1,0,1.0311130910255712,0
2018,2,4,0.9989532676171388,1,0,1.0311130910255712,0
2019,2,1,0.9917818323311238,1,-1,0.9747777777777779,1
2019,2,2,0.9917818323311238,1,0,0.9773703703703704,0
2019,2,3,0.9917818323311238,1,0,0.9835555555555555,0
2019,2,4,0.9917818323311238,1,0,0.9835555555555555,0
2020,2,1,0.9740616737524622,1,0,1.0418888888888889,0
2020,2,2,0.9740616737524622,1,0,1.0574444444444444,0
2020,2,3,0.9740616737524622,1,0,1.0674444444444444,0
2020,2,4,0.9740616737524622,1,0,1.0674444444444444,0
2021,2,1,0.94,1,1,1.2076666666666667,0
2021,2,2,0.94,1,0,1.2076666666666667,1
2021,2,3,0.94,1,0,1.210888888888889,0
2021,2,4,0.94,1,0,1.230888888888889,0
2022,2,1,0.9253712577441786,1,1,1.2583333333333333,1
2022,2,2,0.9253712577441786,1,0,1.2627777777777778,1
2022,2,3,0.9253712577441786,1,0,1.249111111111111,0
2022,2,4,0.9253712577441786,1,0,1.249111111111111,0
2023,2,1,0.93,1,0,1.4255555555555557,0
2023,2,2,0.93,1,0,1.4255555555555557,1
2023,2,3,0.93,1,0,1.4200000000000002,0
2023,2,4,0.93,1,-1,1.4222222222222223,0
2024,2,1,0.91,1,0,1.589,0
2024,2,2,0.91,1,0,1.5933333333333335,1
2024,2,3,0.91,1,0,1.7096666666666667,0
2024,2,4,0.91,1,0,1.9252222222222224,0
2025,2,1,0.90024561192424,1,1,2.9534444444444445,1
2016,3,2,1.105691016005847,1,0,0.9459403488370017,0
2016,3,3,1.105691016005847,1,0,0.949273682170335,0
2016,3,4,1.105691016005847,1,0,0.949273682170335,0
2017,3,1,1.072639149782933,1,0,1.0064934006313513,0
2017,3,2,1.072639149782933,1,0,1.014271178409129,0
2017,3,3,1.072639149782933,1,0,1.0209378450757955,0
2017,3,4,1.072639149782933,1,0,1.0209378450757955,0
2018,3,1,1.049678577221993,1,-1,1.0265575354700156,0
2018,3,2,1.049678577221993,1,0,1.0243353132477935,0
2018,3,3,1.049678577221993,1,0,1.0288908688033491,0
2018,3,4,1.049678577221993,1,0,1.0288908688033491,0
2019,3,1,1.039745835079701,1,-1,0.9725555555555556,0
2019,3,2,1.039745835079701,1,0,0.9751481481481482,0
2019,3,3,1.039745835079701,1,0,0.9813333333333333,1
2019,3,4,1.039745835079701,1,0,0.9813333333333333,0
2020,3,1,1.017926445759389,1,0,1.0396666666666665,1
2020,3,2,1.017926445759389,1,0,1.0552222222222223,0
2020,3,3,1.017926445759389,1,0,1.065222222222222,0
2020,3,4,1.017926445759389,1,0,1.065222222222222,0
2021,3,1,1.0,1,1,1.2076666666666667,1
2021,3,2,1.0,1,0,1.2076666666666667,1
2021,3,3,1.0,1,0,1.210888888888889,0
2021,3,4,1.0,1,0,1.230888888888889,0
2022,3,1,0.9939692382615496,1,1,1.2594444444444444,1
2022,3,2,0.9939692382615496,1,0,1.2638888888888888,1
2022,3,3,0.9939692382615496,1,0,1.2502222222222221,0
2022,3,4,0.9939692382615496,1,0,1.2502222222222221,0
2023,3,1,0.99,1,1,1.4255555555555557,0
2023,3,2,0.99,1,0,1.4255555555555557,1
2023,3,3,0.99,1,0,1.4200000000000002,0
2023,3,4,0.99,1,0,1.4197777777777778,0
2024,3,1,0.98,1,0,1.5865555555555555,0
2024,3,2,0.98,1,0,1.590888888888889,1
2024,3,3,0.98,1,0,1.7072222222222222,0
2024,3,4,0.98,1,0,1.922777777777778,0
2025,3,1,0.9736729678126018,1,1,2.9534444444444445,1
2016,4,2,1.040653368789672,1,0,0.9459403488370017,0
2016,4,3,1.040653368789672,1,0,0.949273682170335,0
2016,4,4,1.040653368789672,1,0,0.949273682170335,0
2017,4,1,1.05961276897341,1,0,1.0064934006313513,0
2017,4,2,1.05961276897341,1,0,1.014271178409129,0
2017,4,3,1.05961276897341,1,0,1.0209378450757955,0
2017,4,4,1.05961276897341,1,0,1.0209378450757955,0
2018,4,1,1.035094658471105,1,-1,1.0276686465811267,1
2018,4,2,1.035094658471105,1,0,1.0254464243589045,0
2018,4,3,1.035094658471105,1,0,1.0300019799144602,0
2018,4,4,1.035094658471105,1,0,1.0300019799144602,0
2019,4,1,1.045651431171383,1,0,0.9725555555555556,0
2019,4,2,1.045651431171383,1,0,0.9751481481481482,1
2019,4,3,1.045651431171383,1,0,0.9813333333333333,1
2019,4,4,1.045651431171383,1,0,0.9813333333333333,0
2020,4,1,1.038185935632214,1,0,1.0396666666666665,1
2020,4,2,1.038185935632214,1,0,1.0552222222222223,0
2020,4,3,1.038185935632214,1,0,1.065222222222222,0
2020,4,4,1.038185935632214,1,0,1.065222222222222,0
2021,4,1,1.04,1,1,1.2076666666666667,1
2021,4,2,1.04,1,0,1.2076666666666667,0
2021,4,3,1.04,1,0,1.210888888888889,0
2021,4,4,1.04,1,0,1.230888888888889,0
2022,4,1,1.042417432381955,1,1,1.257222222222222,1
2022,4,2,1.042417432381955,1,0,1.2616666666666667,1
2022,4,3,1.042417432381955,1,0,1.248,0
2022,4,4,1.042417432381955,1,0,1.248,0
2023,4,1,1.03,1,1,1.4223333333333334,0
2023,4,2,1.03,1,0,1.4223333333333334,1
2023,4,3,1.03,1,0,1.416777777777778,0
2023,4,4,1.03,1,0,1.4165555555555556,0
2024,4,1,1.02,1,0,1.5833333333333333,1
2024,4,2,1.02,1,0,1.5876666666666668,0
2024,4,3,1.02,1,0,1.7040000000000002,0
2024,4,4,1.02,1,0,1.9195555555555557,0
2025,4,1,1.011771642118803,1,1,2.950111111111111,1
2016,5,2,1.063945175749392,1,0,0.949273682170335,0
2016,5,3,1.063945175749392,1,0,0.9526070155036683,0
2016,5,4,1.063945175749392,1,0,0.9526070155036683,0
2017,5,1,1.046266756466885,1,0,1.0098267339646845,0
2017,5,2,1.046266756466885,1,0,1.0176045117424624,0
2017,5,3,1.046266756466885,1,0,1.024271178409129,0
2017,5,4,1.046266756466885,1,0,1.024271178409129,0
2018,5,1,1.018048633540471,1,0,1.028779757692238,0
2018,5,2,1.018048633540471,1,0,1.0265575354700158,0
2018,5,3,1.018048633540471,1,0,1.0311130910255712,0
2018,5,4,1.018048633540471,1,0,1.0311130910255712,0
